strain_name,plate_pos,date_collection,site_collection,plant_num,leaf_num,OTU_assignment
plate12.B6,B6,11_12_2015,Eyach,180,b,OTU1
plate12.B7,B7,11_12_2015,Eyach,180,b,OTU1
plate12.B8,B8,11_12_2015,Eyach,131,a,OTU1
plate12.B9,B9,11_12_2015,Eyach,131,a,OTU1
plate12.C1,C1,11_12_2015,Eyach,177,b,OTU1
plate12.C10,C10,11_12_2015,Eyach,100,a,OTU1
plate12.C11,C11,11_12_2015,Eyach,105,a,OTU2
plate12.C2,C2,11_12_2015,Eyach,177,b,OTU1
plate12.C3,C3,11_12_2015,Eyach,164,b,OTU1
plate12.C5,C5,11_12_2015,Eyach,113,a,OTU1
plate12.C6,C6,11_12_2015,Eyach,180,b,OTU1
plate12.C7,C7,11_12_2015,Eyach,180,b,OTU1
plate12.C8,C8,11_12_2015,Eyach,131,a,OTU1
plate12.C9,C9,11_12_2015,Eyach,131,a,OTU1
plate12.D1,D1,11_12_2015,Eyach,128,a,OTU1
plate12.D12,D12,11_12_2015,Eyach,102,a,OTU1
plate12.D2,D2,11_12_2015,Eyach,161,b,OTU1
plate12.D5,D5,11_12_2015,Eyach,176,b,OTU1
plate12.D6,D6,11_12_2015,Eyach,176,b,OTU1
plate12.D8,D8,11_12_2015,Eyach,179,b,OTU1
plate12.D9,D9,11_12_2015,Eyach,179,b,OTU1
plate12.E1,E1,11_12_2015,Eyach,128,a,OTU1
plate12.E10,E10,11_12_2015,Eyach,173,b,OTU1
plate12.E11,E11,11_12_2015,Eyach,102,a,OTU1
plate12.E2,E2,11_12_2015,Eyach,161,b,OTU1
plate12.E3,E3,11_12_2015,Eyach,133,a,OTU1
plate12.E4,E4,11_12_2015,Eyach,133,a,OTU1
plate12.E5,E5,11_12_2015,Eyach,176,b,OTU1
plate12.E6,E6,11_12_2015,Eyach,176,b,OTU1
plate12.E7,E7,11_12_2015,Eyach,179,b,OTU1
plate12.E8,E8,11_12_2015,Eyach,179,b,OTU1
plate12.E9,E9,11_12_2015,Eyach,173,b,OTU1
plate12.F1,F1,15_12_2015,Det-2,195,b,OTU1
plate12.F10,F10,15_12_2015,Det-2,191,a,OTU1
plate12.F11,F11,15_12_2015,Det-2,191,a,OTU1
plate12.F12,F12,15_12_2015,Det-2,191,a,OTU4
plate12.F2,F2,15_12_2015,Det-2,195,b,OTU1
plate12.F3,F3,15_12_2015,Det-2,213,b,OTU1
plate12.F6,F6,15_12_2015,Det-2,213,b,OTU1
plate12.F9,F9,15_12_2015,Det-2,222,a,OTU1
plate12.G1,G1,15_12_2015,Det-2,193,a,OTU1
plate12.G2,G2,15_12_2015,Det-2,216,a,OTU1
plate12.G3,G3,15_12_2015,Det-2,216,a,OTU1
plate12.G4,G4,15_12_2015,Det-2,209,b,OTU1
plate12.G5,G5,15_12_2015,Det-2,200,b,OTU1
plate12.G6,G6,15_12_2015,Det-2,211,b,OTU1
plate12.G7,G7,15_12_2015,Det-2,215,a,OTU1
plate12.G8,G8,15_12_2015,Det-2,208,b,OTU1
plate12.H1,H1,15_12_2015,Det-2,193,a,OTU1
plate12.H10,H10,15_12_2015,Det-2,202,a,OTU1
plate12.H2,H2,15_12_2015,Det-2,216,a,OTU1
